time,USEmbassy,RenkeLUMS,PAirGardenTown,PAirDHAPhase2,PAirAnarkali,PAirHarbanspura,PAirDefenceChowk,PAirIqbalTown,PAirAkbarChowk,PAirTownship,MetStation,DentalCollege,EPAGulberg
9/23/2019,48.85833333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,62.935,-1
9/24/2019,52.34583333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,61.885,-1
9/25/2019,67.14583333,-1,-1,-1,-1,-1,-1,-1,-1,-1,24.9,65,-1
9/26/2019,75.95833333,-1,-1,-1,-1,-1,-1,-1,-1,-1,27.7,112.318,-1
9/27/2019,78.825,-1,-1,-1,-1,-1,-1,-1,-1,-1,30.699,98.713,-1
9/28/2019,42.88333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,17.723,68.805,-1
9/29/2019,31.82916667,-1,-1,-1,-1,-1,-1,-1,-1,-1,20.553,37.284,-1
9/30/2019,111.0625,-1,-1,-1,-1,-1,-1,-1,-1,-1,34.189,76.295,-1
10/1/2019,70.66666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,34.775,73.714,-1
10/2/2019,101.65,-1,-1,-1,-1,-1,-1,-1,-1,-1,32.396,75.1,-1
10/3/2019,103.3458333,-1,-1,-1,-1,-1,-1,-1,-1,-1,27.916,87.005,-1
